"country","pop2020","MedianAge","MedianAgeMale","MedianAgeFemale"
"Monaco","39.2420","53.1000","51.7000","54.5000"
"Japan","126476.4610","47.3000","46","48.7000"
"Germany","83783.9420","47.1000","46","48.2000"
"Saint Pierre and Miquelon","5.7940","46.5000","46","47"
"Italy","60461.8260","45.5000","44.4000","46.5000"
"Slovenia","2078.9380","44.5000","42.8000","46.2000"
"Greece","10423.0540","44.5000","43.5000","45.6000"
"San Marino","33.9310","44.4000","43.3000","45.4000"
"Hong Kong","7496.9810","44.4000","43.5000","45"
"Andorra","77.2650","44.3000","44.4000","44.1000"
"Isle of Man","85.0330","44.2000","43.3000","44.9000"
"Saint Barthelemy","9.8770","44.1000","44.1000","44.2000"
"Austria","9006.3980","44","42.8000","45.1000"
"Lithuania","2722.2890","43.7000","39.7000","47.1000"
"Latvia","1886.1980","43.6000","39.7000","46.9000"
"Bermuda","62.2780","43.4000","41.5000","45.3000"
"Liechtenstein","38.1280","43.2000","41.7000","44.5000"
"Croatia","4105.2670","43","41.1000","45"
"Estonia","1326.5350","42.7000","39.4000","46.1000"
"Bulgaria","6948.4450","42.7000","40.9000","44.7000"
"Spain","46754.7780","42.7000","41.5000","43.9000"
"Serbia","8737.3710","42.6000","40.9000","44.3000"
"Netherlands","17134.8720","42.6000","41.5000","43.6000"
"Finland","5540.7200","42.5000","40.9000","44.3000"
"Switzerland","8654.6220","42.4000","41.4000","43.4000"
"Hungary","9660.3510","42.3000","40.4000","44.3000"
"Denmark","5792.2020","42.2000","41.2000","43.2000"
"Portugal","10196.7090","42.2000","40.2000","44.4000"
"Canada","37742.1540","42.2000","40.9000","43.5000"
"Bosnia and Herzegovina","3280.8190","42.1000","40.5000","43.5000"
"Czech Republic","10708.9810","42.1000","40.8000","43.4000"
"Malta","441.5430","41.8000","40.8000","43"
"South Korea","51269.1850","41.8000","40.2000","43.4000"
"Puerto Rico","2860.8530","41.5000","39.5000","43.2000"
"Cuba","11326.6160","41.5000","40.1000","42.6000"
"Belgium","11589.6230","41.4000","40.2000","42.7000"
"France","65273.5110","41.4000","39.6000","43.1000"
"Sweden","10099.2650","41.2000","40.2000","42.2000"
"Romania","19237.6910","41.1000","39.7000","42.6000"
"Sint Maarten","42.8760","41","39.9000","42"
"United States Virgin Islands","104.4250","41","39.9000","41.9000"
"Montenegro","628.0660","40.7000","39.9000","41.8000"
"Taiwan","23816.7750","40.7000","40","41.5000"
"Poland","37846.6110","40.7000","39","42.4000"
"Ukraine","43733.7620","40.6000","37.4000","43.7000"
"Slovakia","5459.6420","40.5000","38.8000","42.3000"
"United Kingdom","67886.0110","40.5000","39.3000","41.7000"
"Cayman Islands","65.7220","40","39.3000","40.7000"
"Belarus","9449.3230","40","37.1000","43.1000"
"Russia","145934.4620","39.6000","36.6000","42.5000"
"Aruba","106.7660","39.3000","37.5000","41.1000"
"Luxembourg","625.9780","39.3000","38.7000","39.9000"
"Macau","649.3350","39.3000","39.5000","39.1000"
